ID,myVar,depth
1,554,3.5
2,485,3.5
3,572,60.2
4,572,60.2
5,383,60.2
6,261,60.2
7,304,60.2
8,392,60.2
9,363,60.2
10,383,60.2
11,396,60.2
12,578,60.2
13,515,60.2
14,354,60.2
15,366,60.2
16,336,60.2
17,410,60.2
18,356,60.2
19,285,60.2
20,260,60.2
21,270,60.2
22,290,60.2
23,250,60.2
24,377,60.2
25,433,60.2
26,435,60.2
27,410,60.2
28,435,60.2
29,445,60.2
30,418,60.2
31,253,60.2
32,253,60.2
33,253,60.2
34,546,60.2
35,546,60.2
36,664,60.2
37,383,60.2
38,403,60.2
39,531,60.2
40,471,60.2
41,358,60.2
42,358,60.2
43,358,60.2
44,340,60.2
45,625,4.5
46,500,4.5
47,652,4.5
48,480,4.5
49,681,4.5
50,681,4.5
51,642,4.5
52,511,4.5
53,584,4.5
54,471,4.5
55,501,4.5
56,501,4.5
57,625,4.5
58,592,4.5
59,525,4.5
60,615,4.5
61,571,4.5
62,428,4.5
63,562,4.5
64,562,4.5
65,435,4.5
66,501,4.5
67,427,4.5
68,475,4.5
69,611,4.5
70,395,4.5
71,417,4.5
72,585,4.5
73,415,3.5
74,345,3.5
75,572,3.5
76,394,3.5
77,353,3.5
78,611,3.5
79,605,3.5
80,473,3.5
81,301,3.5
82,352,3.5
83,387,3.5
84,281,3.5
85,461,3.5
86,381,3.5
87,475,3.5
88,512,3.5
89,582,3.5
90,682,3.5
91,545,3.5
92,497,3.5
93,480,3.5
94,331,3.5
95,556,3.5
96,540,3.5
97,620,3.5
98,361,3.5
99,531,3.5
100,505,3.5
101,621,3.5
102,339,3.5
103,313,3.5
104,587,3.5
105,481,3.5
106,281,3.5
107,354,3.5
108,583,3.5
109,554,3.5
110,286,3.5
111,653,3.5
112,571,3.5
113,360,3.5
114,592,3.5
115,693,3.5
116,297,3.5
117,365,3.5
118,455,3.5
119,255,3.5
120,693,3.5
121,683,3.5
122,485,3.5
123,628,3.5
124,558,3.5
125,434,3.5
126,407,3.5
127,405,3.5
128,378,3.5
129,460,3.5
130,521,3.5
131,583,3.5
132,420,3.5
133,706,3.5
134,408,56.1
135,347,56.1
136,347,56.1
137,347,56.1
138,347,56.1
139,337,63.1
140,337,63.1
141,337,63.1
142,432,65.6
143,432,65.6
144,432,65.6
145,444,65.6
146,444,65.6
147,430,65
148,430,65
149,430,65
150,430,65
151,400,65
152,400,65
153,422,62.7
154,377,47.1
155,391,47.1
156,365,47.1
157,232,47.1
158,281,47.1
159,310,47.1
160,310,47.1
161,322,47.1
162,322,47.1
163,322,47.1
164,353,47.1
165,353,47.1
166,446,47.1
167,446,47.1
168,403,47.1
